id	severity	category	status	evidence_class	title	summary	impact	evidence	remediation
FCA-011	High	Implementation governance	Missing required package content	E1	Root instructions require design packages that are absent from the archive	AGENTS.md requires .forge-continuity-design/AGENTS.md and its work-packages file before continuity/provider/runtime work. Neither .forge-continuity-design nor .forge-e2 is present in this current-state archive.	The repository’s own autonomous execution contract cannot be followed reproducibly from the delivered source. Future repair agents can drift from the authoritative design.	AGENTS.md:1-5; directory inventory	Commit the required compact design contracts/schemas or remove stale references and replace them with a complete, versioned in-repository specification. Do not rely on an external transient package.
FCA-012	High	Release provenance	Inconsistent evidence state	E1	The bundled release state references multiple branches/commits and cannot be independently tied to the archive	The archive contains no .git metadata. Completion state references commit 628821..., run state uses an earlier active package set, and the latest handoff references baseline 628821... plus published source f721ce.../PR 12. Many evidence paths point to different local worktrees. The current source manifest matches selected evidence, but branch/commit provenance cannot be independently verified from the archive.	A release decision based only on the embedded ledger could apply evidence to the wrong source lineage.	.forge-codex/state/completion-report.json; .forge-autonomy-state/run.json; .forge-autonomy-state/current-handoff.json; no .git directory	Produce one immutable release attestation binding archive SHA-256, source manifest, Git commit/tree, dependency/toolchain versions, gate results, and signatures. Reject mixed-lineage gate state.
FCA-013	High	Native UI qualification	Release-blocking gate open	E0 required	The signed native UI matrix has not run	Embedded evidence compiles the XCUITest target but executes zero tests. A later ad-hoc launch verifies a process only. Developer Mode/signing prerequisites remained unavailable.	Settings shell control, project reset UI, manager reconnect, operator views, navigation lifecycle, and real GUI-to-manager behavior remain unqualified.	EVID-20260828T124634Z-c6c0c861da; EVID-20260828T131739Z-66596e8e37; .forge-autonomy-state/current-handoff.json	Run the signed XCUITest and native stress matrix on a matching-team macOS host. Keep the gate DEFERRED_ENVIRONMENT—RELEASE BLOCKING until tests execute.
FCA-014	High	Shell qualification	Source implemented; native gate open	E0 required	Shell is enabled in source, but native Settings-to-manager compatibility remains unproven	The current source defaults shell enabled, migrates legacy implicit-disabled state, preserves explicit opt-out, retains shell_exec, and implements runtime tools. However the repository itself keeps FC-SHELL-COMPAT-QUALIFICATION-001 open because native process relaunch and signed Settings execution were not performed.	The prior disabled-shell regression appears repaired at source/test level, but release acceptance still requires the actual app/manager path.	Sources/ForgeConductorCore/Domain/AppConfig.swift:25-50; Sources/ForgeConductorCore/Infrastructure/ConfigStore.swift:280-315,360-390; Sources/ForgeConductorCore/Application/Tools/ShellToolPack.swift:9-55; .forge-autonomy-state/current-handoff.json	Execute clean install, migration, Settings toggle, MCP tools/list and command, app restart, manager restart, project switch, memory reset, and continuity reset through the signed native application.
FCA-015	High	Rendering performance	Profiling target	E3	The Rig can instantiate roughly 288 native Metal gauge surfaces from bounded lists	Static list maxima yield about 192 tool bars, 12 pack bars, 24 MCP bars, 24 agent bars, 12 process bars, and 24 feed bars, before additional system/status surfaces. Resources are now shared and MTKViews are on-demand, but the native view count remains large.	On low-memory Macs, hundreds of MTKViews can still produce allocation, layer, command-buffer, and SwiftUI bridging overhead. Static analysis cannot label this a leak without Instruments.	Sources/ForgeConductorApp/Views/Rig/RigDashboardView.swift:365-600; Sources/ForgeConductorApp/Metal/MetalGaugeResources.swift:1-145	Run Metal System Trace, Allocations, Time Profiler, and SwiftUI instruments with visible/hidden navigation cycles. Consider one batched Metal surface per section or per dashboard and viewport virtualization.
FCA-016	High	Durable storage efficiency	Source-proven retention gap	E1	Autonomy/control-plane event and provider history tables have no bounded archival policy	Context-budget observations and runtime jobs have compaction, but autonomy_events, provider turns, tool invocations, provider sessions, continuity commands, autonomous runs, and legacy audit_events are append-only or query-limited without a production pruning/archive path.	Long-running autonomous installations can grow durable SQLite storage indefinitely even when in-memory histories are bounded. This is disk retention, not a proven heap leak.	Sources/ForgeConductorCore/Infrastructure/ProjectControlPlaneRepository.swift:4350-4665; Sources/ForgeConductorCore/Infrastructure/SQLiteStore.swift:1720-1785; absence of corresponding DELETE/prune paths	Implement project-scoped retention classes, segmented/hash-checkpointed audit archives, bounded provider/tool payload retention, compaction receipts, and operator-configurable quotas that preserve required forensic integrity.
FCA-017	Medium	Project UI	Partial feature	E1	Project relink is displayed but disabled	The Projects UI contains a Relink button with an empty action and disabled state. No corresponding manager mutation was located.	Moved or reauthorized project roots cannot be repaired through the planned native project lifecycle.	Sources/ForgeConductorApp/OperatorConsole/Views/ProjectsOperatorView.swift:175-186	Implement relink with expected generation, bookmark/root identity validation, authorization re-evaluation, stale-binding fencing, and an auditable receipt.
FCA-018	Medium	Runtime UI	Partial feature	E1	Durable job cancellation exists in the backend but the native Cancel Job action is disabled	The runtime service and MCP job.cancel tool exist, but RuntimesOperatorView’s Cancel Job button has no action.	Operators cannot stop jobs from the native UI despite the planned Runtimes surface.	Sources/ForgeConductorApp/OperatorConsole/Views/RuntimesOperatorView.swift:130-142; Sources/ForgeConductorCore/Application/Tools/RuntimeJobToolPack.swift	Wire a typed cancel mutation with project/run/generation checks, terminal receipt display, and process-group termination state.
FCA-019	Medium	Continuity UI	Partial feature	E1	Checkpoint and early-rollover controls are disabled placeholders	ContinuityOperatorView renders Checkpoint Now and Request Early Rollover with empty actions.	The planned administrative continuity controls are unavailable for recovery and qualification.	Sources/ForgeConductorApp/OperatorConsole/Views/ContinuityOperatorView.swift:155-166	Add authenticated typed manager commands that enqueue canonical operations, return operation IDs, and stream durable state transitions.
FCA-020	Medium	Telemetry correctness	Source-proven defect	E1	Forge recompose appends an additional history point from the last host sample	onSystemSample appends a history point, and recomposeForgeAndPublish also appends another point using currentSystem. When no new host sample has arrived, the same sample is represented again at a new timestamp.	History cadence can be distorted and chart density no longer corresponds strictly to host samples.	Sources/ForgeConductorCore/Telemetry/TelemetryService.swift:179-203,216-241	Append host history only on host samples. Recompose Forge/MCP cards without adding a second system point, or explicitly label separate sample sources.
FCA-021	Medium	Telemetry efficiency	Source-proven allocation churn	E1	Frequent telemetry publication repeatedly shifts and copies history arrays	Both host sampling and Forge recompose append, removeFirst on overflow, create Array(history.suffix(300)), copy listener state, and construct complete snapshots. The workload is bounded but allocation-heavy at high sample rates.	This can raise CPU and transient memory pressure and look leak-like under sustained operation.	Sources/ForgeConductorCore/Telemetry/TelemetryService.swift:179-265	Use a fixed-capacity ring buffer with snapshot views/copy-on-publish at a lower UI cadence; separate raw host collection from UI frame composition and coalesce unchanged Forge cards.
FCA-022	Medium	Observability	Source-proven metric mismatch	E1	gauge.surfaces.visible measures attached surfaces, not actual visibility	GaugeSurfaceLifetime increments active and visible together on attach and decrements both on detach. It does not observe window attachment, occlusion, tab selection, or hidden state.	The telemetry cannot prove gauges are quiescent when off-screen, weakening the performance gate and misleading diagnostics.	Sources/ForgeConductorApp/Metal/MetalGaugeResources.swift:118-142	Track allocated, window-attached, actually-visible, and drawing surfaces separately using view/window lifecycle callbacks and dashboard visibility state.
FCA-023	Medium	Dashboard security / reliability	Source-proven gap	E2	Loopback HTTP connections have no explicit admission cap or idle read deadline	Every accepted NWConnection is started and incomplete reads recurse. The server does not maintain a bounded accepted-connection registry, enforce a header/read deadline, or cancel all accepted connections on stop.	A same-user process can hold many idle loopback connections and consume file descriptors/memory. Stop may leave peer-held connections alive until transport closure.	Sources/ForgeConductorCore/Dashboard/DashboardServer.swift:100-210	Add a bounded connection registry, per-connection monotonic deadline, maximum header/body bytes, cancellation on stop, and diagnostics for rejected/expired connections.
FCA-024	Medium	Dashboard confidentiality	Source-proven policy gap	E1	Sensitive manager status and operator snapshot reads are exempt from authorization	Mutation authorization intentionally exempts manager status, settings, operator snapshot, autonomy status, and project/run status endpoints. Operator snapshots can expose canonical roots, run missions, provider/session identifiers, runtime command/cwd summaries, continuity state, and events.	Any same-user process able to reach loopback can read detailed project operational metadata even though mutations require the bearer token.	Sources/ForgeConductorCore/Dashboard/ManagerRoutes.swift:185-218,282-325; operator snapshot models	Require owner token for sensitive reads or split a minimal non-sensitive health endpoint from authenticated operational data. Keep constant-time bounded token comparison.
FCA-025	Medium	Test parity	Source-proven build configuration gap	E1	Two LM Studio contract fixture test files are absent from the Xcode test target	SwiftPM includes all tests, but the Xcode project file does not reference LMStudioContractFixtureServer.swift or LMStudioContractFixtureTests.swift.	The native Xcode test matrix can omit provider protocol tests that are central to autonomous continuity.	ForgeConductor.xcodeproj/project.pbxproj membership scan	Add both files to the Xcode test target and add a parity test that fails whenever a SwiftPM test source is missing from Xcode membership.
FCA-026	Medium	Repository hygiene / privacy	Source-proven packaging issue	E1	The source archive contains large build/evidence state and hundreds of absolute local paths	The archive includes .build, about 134 MiB of .forge-codex state/evidence, additional autonomy state, and hundreds of files containing /Users/jimdaley paths. .gitignore ignores .build but not the execution-state directories.	Distribution size, review cost, clone performance, reproducibility, and local-path metadata exposure are unnecessarily increased.	Archive inventory and byte counts; .gitignore; absolute-path scan	Separate release source from local evidence. Publish a compact signed evidence bundle by content hash; normalize paths; ignore local run state; retain only schemas, scripts, and release attestations needed in source control.
FCA-027	Medium	Documentation / product contract	Source-proven inconsistency	E1	Version and continuity documentation remain on 0.9.0/manual-new-chat semantics	README, architecture, telemetry, and user guide still identify 0.9.0. The guide explicitly says the tree is not release-qualified and repeatedly directs users to start a new chat and call context_get, conflicting with the manager-owned autonomous-continuity objective.	Users and future implementers cannot tell which mode is authoritative, and the documented feature set lags the source.	README.md:9,103-153; USER-GUIDE.md:3-7,127-194,272-324; docs/CONTEXT-AGENT-CONTINUITY.md:1-65	Publish versioned mode-specific documentation: managed autonomous mode, external MCP compatibility mode, release qualification, shell defaults, runtime tools, project reset, and remaining limitations.
FCA-028	Medium	Operator projections	Partial feature	E1	Runtime and provider version/health projections remain incomplete	Operator models leave executable versions and several provider health fields nil/unavailable even though capability discovery and provider adapters exist.	Operators cannot reliably diagnose incompatible runtimes or provider model/context configuration.	Sources/ForgeConductorCore/Manager/ManagerNode.swift operator projection methods; Sources/ForgeConductorApp/OperatorConsole	Collect bounded version probes and provider model/context metadata in the manager, cache with TTL, and expose last-success/last-error timestamps.
FCA-029	Low	Maintainability / concurrency	Engineering risk	E3	Very large core files and extensive @unchecked Sendable usage increase regression risk	Several core files exceed 2,000-5,000 lines, and the project contains many @unchecked Sendable declarations. Current strict compilation evidence passes, so this is not a proven data race.	Ownership, cancellation, isolation, and testability become harder to reason about, especially in the manager/control-plane/runtime subsystems.	Source line-count inventory; repository-wide @unchecked Sendable scan	Incrementally split repositories/services by aggregate and transaction boundary; replace unchecked conformance with actors, immutable Sendable values, or narrowly documented locks; add concurrency stress tests.
FCA-030	Low	Environment / portability	Qualification limitation	E0 required	The package cannot be built or tested in the current Linux audit environment	swift package describe succeeds, but swift test fails immediately because a product imports Darwin and the package targets macOS 26. xcodebuild is unavailable.	This audit can verify source structure and embedded current-manifest evidence, but cannot independently execute macOS, Xcode, AppKit, Metal, LaunchAgent, Keychain, signing, or LM Studio gates.	evidence/independent-command-evidence.json	Run the required commands on a macOS 26 Xcode host and attach immutable evidence bound to this archive/source manifest.
